taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,version,pangolin_version,pangoLEARN_version,pango_version,status,note,sample
2KFUCOV_25_S110_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_25
2KFUCOV_20_S52_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_20
5COV_002_SW1_S5_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_002
80557_S51,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,80557
2KFUCOV_19_S40_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_19
5COV_023_SW1_S94,B.1.1.317,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_023
KFU_COV_27_S37_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,KFU_27
3KFUCOV_1,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,3KFU_COV_1
5COV_019_SW1_S58,B.1.1,0,0.999914712153518,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_019
KFU_COV_102_S50_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,KFU_102
5COV_043_SW1_S29_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_043
2KFUCOV_11_S63_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_11
KFU_COV_109_S54_L001,B.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,KFU_109
ICOV_8253_S10_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,8253
6218_S89,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,6218
5COV_006_SW1_S8_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_006
RCOV_069_SW1,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,RCOV_069
ICOV_049_SW1,B.1.1.101,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,ICOV_049
ICOV_078_SW1,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,ICOV_078
83_5_S1_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,83_5
KFU_COV_128_S63_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,KFU_128
IR6853_S24,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,6853
2KFUCOV_26_S30_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_26
IAM11_S17,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,IAM11
6459_S54,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,6459
RCOV_062_SW1,B.1.1.152,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,RCOV_062
5COV-006-SW1_S8_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV-006-SW1
ICOV_006_SW1_S20,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,ICOV_006
KFU_COV_176_S80_L001,B.1.1.317,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,KFU_176
ICOV_062_SW1,B.1.1.141,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,ICOV_062
5COV_064_SW1_S33_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_064
5COV_066_SW1_S57_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_066
